#,Project,Developer,Zone,Locality,MahaRERA Reg. No.,Possession,Poss. Month,Poss. Year,Configurations,Carpet Min (sqft),Carpet Max (sqft),Price Range (quoted),Price Min (Rs Cr),Price Max (Rs Cr),Units / Project Area,Status / Construction Notes,Date Confidence,Source,owner
230,B R Swapnapurti Heights,B R Developers,North Pune / PCMC,Chakan,,Oct 2026,10,2026,1 BHK,470,485,21.23 - 21.93 L,0.21,0.22,,RERA not located,Medium,link,
231,Jagdamba Shree Samarth Shrushti,Jagdamba Developers,North Pune / PCMC,Chakan,,Sep 2026,9,2026,1 BHK,369,445,26 - 31.36 L,0.26,0.31,,RERA not located,Medium,link,
232,Mahindra Nestalgia,Mahindra Lifespaces,North Pune / PCMC,Pimpri,P52100045784; P52100048473,Aug 2027,8,2027,"1, 2, 3 BHK",452,978,74.58 L - 1.61 Cr,0.75,1.61,498 units / 3.82 ac,Partially ready-to-move; later towers still UC,High,link,
233,Yashada Vivanta Vantage Twenty One,Yashada Realty,North Pune / PCMC,Pimpri / Pimple Saudagar,P52100022932,Oct 2027,10,2027,"3, 4 BHK",717,"1,755",1.30 - 3.19 Cr,1.30,3.19,250 units / 2.8 ac,Structure ~95% (Feb 2025),High,link,
234,Legacy The Statement,Legacy Lifespaces,North Pune / PCMC,Pimple Saudagar,P52100048004,Mar 2027,3,2027,"3, 4 BHK","1,455","2,157",2.50 - 3.55 Cr,2.50,3.55,145 units,Structure 50% (Nov 2025) - tight vs Mar 2027,Medium,link,
235,P K Hillcrest,P K Group,North Pune / PCMC,Pimple Saudagar (Kunal Icon Rd),,Nov 2027,11,2027,"3, 4 BHK",980,"1,438",On request,,,,RERA not located,Medium,link,
236,Govind Presidential Tower,Govind Raviraj Developers LLP,North Pune / PCMC,Pimple Saudagar (Kunal Icon Rd),,Dec 2026,12,2026,"3, 4 BHK","1,242","1,554",On request,,,,RERA not located,Medium,link,
237,Codename Vardhaman Skytown,Vardhaman Spaces,North Pune / PCMC,Pimple Saudagar (Ram Nagar),,Dec 2027,12,2027,"2, 3 BHK",701,"1,081",On request,,,,Recently launched; RERA not located,Medium,link,
238,Siddhis Sapphire Homes,Siddhis Venture,North Pune / PCMC,Pimple Saudagar,,Dec 2027,12,2027,3 BHK,"1,005","1,148",1.34 - 1.53 Cr,1.34,1.53,,RERA not located,Medium,link,
239,Shwetayan Solitaire,Shwetayan Realty,North Pune / PCMC,Pimple Gurav,,Jun 2027,6,2027,2 BHK,815,819,On request,,,,RERA not located,Medium,link,
240,Legacy Kairos,Legacy Lifespaces,North Pune / PCMC,Rahatani,P52100047999; P52100047901,Mar 2027,3,2027,"2, 3, 4 BHK",832,"1,591",1.22 - 2.40 Cr,1.22,2.40,192 units / 5 ac,"Structure 80%, internal 15% (Feb 2025)",High,link,
241,Varad Classic,Vinay Sudam Kunjir,North Pune / PCMC,Rahatani,,Mar 2027,3,2027,2 BHK,650,693,54.32 L+,0.54,0.54,,RERA not located,Medium,link,
242,Signature Ritz,Shree Sonigara Developers,North Pune / PCMC,Thergaon (Jai Hind Nagar),,Dec 2026,12,2026,"3, 4 BHK","1,022","1,571",1.10 Cr+,1.10,1.10,,RERA not located,Medium,link,
243,S K Shiny Gold,S K Infra Pune,North Pune / PCMC,Nigdi (Sector 32),,Dec 2026,12,2026,"2, 3 BHK",720,"1,102",76.70 L+,0.77,0.77,,RERA not located,Medium,link,
244,Vasant Estella,Vasant Realty,North Pune / PCMC,Akurdi,P52100046270,Dec 2026,12,2026,"2, 3 BHK",759,"1,074",91.87 L - 2.50 Cr,0.92,2.50,124 units / 1.07 ac,"Structure 79%, external 50% (Apr 2025)",High,link,
245,Matrix One Platinum,Matrix Developers,North Pune / PCMC,Akurdi,,Dec 2026,12,2026,"1, 2, 3 BHK",454,987,On request,,,,RERA not located,Medium,link,
246,My Home Akurdi,Not identified,North Pune / PCMC,Akurdi,,Dec 2027,12,2027,"2, 3 BHK",781,"1,126",76.57 L+,0.77,0.77,,Developer and RERA unverified,Low,link,
247,Mantra Meraki Ph 5 & 7,Mantra Properties,North Pune / PCMC,Akurdi,P52100034671; P52100034738,Dec 2027,12,2027,"1, 2, 3 BHK",,,On request,,,,"Marketed Dec 2026, RERA Dec 2027; partially ready-to-move - borderline",Conflict,link,
248,Naiknavare Aranya,Naiknavare Developers,North Pune / PCMC,Talegaon Dabhade,P52100052216,Mar 2027,3,2027,"1, 2 BHK",366,614,26.64 - 47 L,0.27,0.47,333 units / 1.28 ac,Last published progress: structure 23% (Mar 2024) - Mar 2027 looks at risk,Medium,link,
249,Namrata Sarvam,Namrata Group,North Pune / PCMC,Talegaon Dabhade,,Dec 2027,12,2027,"1, 2, 3 BHK",431,904,26.55 - 58 L,0.27,0.58,,Later wings run to Jun 2028; RERA not located,Medium,link,
250,Namrata Sarvam Wing G & J,Namrata Group,North Pune / PCMC,Talegaon Dabhade,,Dec 2027,12,2027,"1, 2 BHK",388,624,On request,,,,RERA not located,Medium,link,
251,KBD Prospera Paradise Ph II,KBD Group,North Pune / PCMC,Talegaon Dabhade,,Dec 2027,12,2027,"1 RK, 1 BHK",221,364,12 - 23.64 L,0.12,0.24,,RERA not located,Medium,link,
252,Adinath Aashray,Adinath Builders Pune,North Pune / PCMC,Talegaon Dabhade,,Mar 2027,3,2027,2 BHK,644,692,On request,,,,RERA not located,Medium,link,
253,Aadinath Avenue,Aadinath Associates Pune,North Pune / PCMC,Talegaon Dabhade,,Dec 2026,12,2026,"1, 2 BHK + shops",137,572,On request,,,,RERA not located,Medium,link,
254,Silver Arch,MGR Infra,North Pune / PCMC,Talegaon Dabhade,,Dec 2026,12,2026,2 BHK,583,644,40.56 - 44.42 L,0.41,0.44,,RERA not located,Medium,link,
255,Shrivar Girivar Residency,Shrivar Builders LLP,North Pune / PCMC,Talegaon Dabhade,,Dec 2026,12,2026,1 BHK,362,400,25.39 - 27.54 L,0.25,0.28,,RERA not located,Medium,link,
256,Luxuria,Uttam Group,North Pune / PCMC,Talegaon Dabhade,,Aug 2026,8,2026,"2, 3 BHK",603,842,37.36 - 52.17 L,0.37,0.52,,RERA not located,Medium,link,
